Sr. No.,Restaurant ID,Country Code,City,Has Table booking,Has Online delivery,Service_Availability,,,,,,,
1,6317637,162,Makati City,Yes,No,Any_one-Service_Available,,Restaurant ID,Country Code,City,Has Table booking,Has Online delivery,Service_Availability
2,6304287,162,Makati City,Yes,No,Any_one-Service_Available,,6318506,162,Mandaluyong City,No,No,No_Service_Available
3,6300002,162,Mandaluyong City,Yes,No,Any_one-Service_Available,,,,,,,
4,6318506,162,Mandaluyong City,No,No,No_Service_Available,,Country,Country_Code,Any_one-Service_Available,Both_Services_Available,No_Service_Available,
5,6314302,162,Mandaluyong City,Yes,No,Any_one-Service_Available,,India,1,2684,427,5541,
6,18189371,162,Mandaluyong City,No,No,No_Service_Available,,,,,,,
7,6300781,162,Pasay City,Yes,No,Any_one-Service_Available,,Count of Service_Availability,Column Labels,,,,
8,6301290,162,Pasay City,Yes,No,Any_one-Service_Available,,Row Labels,Any_one-Service_Available,Both_Services_Available,No_Service_Available,Grand Total,
9,6300010,162,Pasay City,Yes,No,Any_one-Service_Available,,1,2684,427,5541,8652,
10,6314987,162,Pasig City,Yes,No,Any_one-Service_Available,,14,0,0,24,24,
11,6309903,162,Pasig City,No,No,No_Service_Available,,30,0,0,60,60,
12,6309455,162,Pasig City,Yes,No,Any_one-Service_Available,,37,0,0,4,4,
13,6318433,162,Quezon City,No,No,No_Service_Available,,94,0,0,21,21,
14,6310470,162,San Juan City,Yes,No,Any_one-Service_Available,,148,0,0,40,40,
15,6314605,162,San Juan City,No,No,No_Service_Available,,162,14,0,8,22,
16,18185059,162,Santa Rosa,No,No,No_Service_Available,,166,1,0,19,20,
17,18182702,162,Santa Rosa,No,No,No_Service_Available,,184,0,0,20,20,
18,6318213,162,Tagaytay City,Yes,No,Any_one-Service_Available,,189,3,0,57,60,
19,18255654,162,Taguig City,No,No,No_Service_Available,,191,0,0,19,19,
20,6308205,162,Taguig City,Yes,No,Any_one-Service_Available,,208,0,0,34,34,
21,6315438,162,Taguig City,Yes,No,Any_one-Service_Available,,214,26,8,26,60,
22,6310406,162,Taguig City,Yes,No,Any_one-Service_Available,,215,11,0,69,80,
23,6600681,30,Brasí_lia,No,No,No_Service_Available,,216,0,0,425,425,
24,6601005,30,Brasí_lia,No,No,No_Service_Available,,Grand Total,2739,435,6367,9541,
25,6600292,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
26,6600441,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
27,6600970,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
28,6600379,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
29,6600214,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
30,6601218,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
31,6600060,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
32,6600083,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
33,6601515,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
34,6601361,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
35,6601602,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
36,6601589,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
37,6601862,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
38,6601595,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
39,6601158,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
40,6600427,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
41,6600116,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
42,6601457,30,Brasí_lia,No,No,No_Service_Available,,,,,,,
43,7303219,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
44,7304307,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
45,7301215,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
46,7300596,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
47,7300612,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
48,7300704,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
49,7300955,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
50,7300521,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
51,7300515,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
52,7300483,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
53,7301064,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
54,7304312,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
55,7300004,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
56,7300868,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
57,7302637,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
58,7302140,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
59,7305048,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
60,7302898,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
61,7302859,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
62,7301700,30,Rio de Janeiro,No,No,No_Service_Available,,,,,,,
63,6706313,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
64,6704326,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
65,6711179,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
66,6702797,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
67,6700475,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
68,6713413,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
69,6714340,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
70,6710645,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
71,6700402,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
72,6700846,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
73,6702159,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
74,6711666,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
75,6701257,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
76,6706211,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
77,6705858,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
78,6701419,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
79,6703956,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
80,6709580,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
81,6703176,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
82,6713772,30,Sí£o Paulo,No,No,No_Service_Available,,,,,,,
83,17284404,216,Albany,No,No,No_Service_Available,,,,,,,
84,17284203,216,Albany,No,No,No_Service_Available,,,,,,,
85,17284302,216,Albany,No,No,No_Service_Available,,,,,,,
86,17284397,216,Albany,No,No,No_Service_Available,,,,,,,
87,17284094,216,Albany,No,No,No_Service_Available,,,,,,,
88,17284409,216,Albany,No,No,No_Service_Available,,,,,,,
89,17284139,216,Albany,No,No,No_Service_Available,,,,,,,
90,17284403,216,Albany,No,No,No_Service_Available,,,,,,,
91,17284145,216,Albany,No,No,No_Service_Available,,,,,,,
92,17284150,216,Albany,No,No,No_Service_Available,,,,,,,
93,17284175,216,Albany,No,No,No_Service_Available,,,,,,,
94,17284179,216,Albany,No,No,No_Service_Available,,,,,,,
95,17284197,216,Albany,No,No,No_Service_Available,,,,,,,
96,17284241,216,Albany,No,No,No_Service_Available,,,,,,,
97,17284390,216,Albany,No,No,No_Service_Available,,,,,,,
98,17284279,216,Albany,No,No,No_Service_Available,,,,,,,
99,17284364,216,Albany,No,No,No_Service_Available,,,,,,,
100,16611114,14,Armidale,No,No,No_Service_Available,,,,,,,
101,17293281,216,Athens,No,No,No_Service_Available,,,,,,,
102,17293301,216,Athens,No,No,No_Service_Available,,,,,,,
103,17293409,216,Athens,No,No,No_Service_Available,,,,,,,
104,17293163,216,Athens,No,No,No_Service_Available,,,,,,,
105,17293228,216,Athens,No,No,No_Service_Available,,,,,,,
106,17293880,216,Athens,No,No,No_Service_Available,,,,,,,
107,17293169,216,Athens,No,No,No_Service_Available,,,,,,,
108,17293186,216,Athens,No,No,No_Service_Available,,,,,,,
109,17293180,216,Athens,No,No,No_Service_Available,,,,,,,
110,17293205,216,Athens,No,No,No_Service_Available,,,,,,,
111,17293229,216,Athens,No,No,No_Service_Available,,,,,,,
